train/approx_kl,train/policy_gradient_loss,time/fps,train/entropy_loss,train/explained_variance,train/value_loss,rollout/ep_len_mean,train/clip_fraction,train/clip_range,train/learning_rate,time/total_timesteps,rollout/ep_rew_mean,train/loss,train/n_updates,time/iterations,time/time_elapsed,eval/mean_reward,eval/mean_ep_length
0.0070065153,-0.0019276757520856336,,-1.4961504712700844,0.7105185985565186,0.05754687171429396,,0.0421142578125,0.2,0.00025,200000,,0.005669258534908295,388,,,-21.0,3101.0
0.0043646498,-0.0032701329473638907,1824,-1.5310605466365814,0.41987478733062744,0.09031977481208742,3736.88,0.0732421875,0.2,0.00025,204800,-20.21,0.022709477692842484,396,100,112,,
0.0061547426,-0.001507571549154818,1855,-1.6316652856767178,0.7415302991867065,0.06832448171917349,3850.25,0.0753173828125,0.2,0.00025,225280,-20.04,0.015121452510356903,436,110,121,,
0.0032244893,-0.0026084126147907227,,-1.7000890709459782,0.6783320903778076,0.05504611600190401,,0.0069580078125,0.2,0.00025,240000,,0.007571186870336533,468,,,-20.6,3658.4
0.0055282707,-0.004279052969650365,1827,-1.699637621641159,0.5725558996200562,0.07718621706590056,3973.15,0.0179443359375,0.2,0.00025,245760,-19.86,0.015120552852749825,476,120,134,,
0.0033891476,-0.0018369976460235193,1851,-1.5777926221489906,0.5035820007324219,0.08614002470858395,4077.66,0.037109375,0.2,0.00025,266240,-19.75,0.03321082144975662,516,130,143,,
0.007529738,-0.004401628422783688,,-1.478268127888441,0.5295963883399963,0.07347977568861097,,0.068115234375,0.2,0.00025,280000,,0.010815586894750595,544,,,-19.4,7200.0
0.0034737217,-0.0016428072995040566,1786,-1.4362426735460758,0.4508713483810425,0.0886836713179946,4257.04,0.048583984375,0.2,0.00025,286720,-19.49,0.030942663550376892,556,140,160,,
0.0053518275,-0.004036776095745154,1807,-1.3066167831420898,0.6870703101158142,0.0644634411437437,4534.95,0.033935546875,0.2,0.00025,307200,-19.11,0.021849539130926132,596,150,169,,
0.00799243,-0.007718682812992483,,-1.2395717464387417,0.5230959057807922,0.07342646876350045,,0.06103515625,0.2,0.00025,320000,,0.00565241277217865,624,,,-20.0,7454.4
0.009073131,-0.003490801711450331,1741,-1.2839208506047726,0.6380695700645447,0.05152154073584825,4790.08,0.070556640625,0.2,0.00025,327680,-19.0,0.025907212868332863,636,160,188,,
0.0075547136,-0.009792314434889704,1763,-1.4551327228546143,0.5575798153877258,0.04882244032341987,5041.08,0.0911865234375,0.2,0.00025,348160,-18.74,-0.0021319184452295303,676,170,197,,
0.009181354,-0.006618108513066545,,-1.40747394785285,0.5070160627365112,0.06027300842106342,,0.07080078125,0.2,0.00025,360000,,0.010930316522717476,700,,,-17.0,8568.0
0.005783763,-0.00664547122141812,1709,-1.4141115844249725,0.46186619997024536,0.06159128528088331,5426.83,0.0689697265625,0.2,0.00025,368640,-18.49,-0.009916994720697403,716,180,215,,
